episode,timestep,episode_reward,episode_length,action_std,termination_reason
12,1,128,1.0721706869789693e+21,0.555624800423781,-18.287948608398438,0.2,-0.1,-0.2
12,136,-5.9,10.0,0.2,collision
13,149,-6.2,13.0,0.2,collision
14,166,-1.7000000000000004,17.0,0.2,collision
15,175,-5.8,9.0,0.2,collision
16,186,-6.0,11.0,0.2,collision
17,196,-5.9,10.0,0.2,collision
18,206,-5.9,10.0,0.2,collision
19,216,-5.9,10.0,0.2,collision
20,230,-6.3,14.0,0.2,collision
21,247,-6.6000000000000005,17.0,0.2,collision
22,2,256,1.0249686378539105e+20,0.5950122028589249,-18.287948608398438,0.2,-0.1,-0.8999999999999999
22,258,-6.0,11.0,0.2,collision
23,267,-5.8,9.0,0.2,collision
24,278,-6.0,11.0,0.2,collision
25,291,-6.2,13.0,0.2,collision
26,309,-6.7,18.0,0.2,collision
27,320,-6.0,11.0,0.2,collision
28,330,-5.9,10.0,0.2,collision
29,341,-6.0,11.0,0.2,collision
30,349,-0.7999999999999999,8.0,0.2,collision
31,359,-5.9,10.0,0.2,collision
32,372,-6.2,13.0,0.2,collision
33,383,-6.0,11.0,0.2,collision
34,3,384,2.6693697744394335e+21,0.5045650973916054,-18.287948608398438,0.2,-0.1,-0.1
34,394,-6.0,11.0,0.2,collision
35,407,-6.2,13.0,0.2,collision
36,416,-5.8,9.0,0.2,collision
37,427,-6.0,11.0,0.2,collision
38,439,-6.1,12.0,0.2,collision
39,452,-6.2,13.0,0.2,collision
40,459,-5.6,7.0,0.2,collision
41,470,-6.0,11.0,0.2,collision
42,481,-6.0,11.0,0.2,collision
43,493,-6.1,12.0,0.2,collision
44,507,-6.3,14.0,0.2,collision
45,4,512,2.145079440262527e+19,0.5861757956445217,-18.287948608398438,0.2,-0.1,-0.5
45,517,-5.9,10.0,0.2,collision
46,527,-5.9,10.0,0.2,collision
47,537,-5.9,10.0,0.2,collision
48,549,-6.1,12.0,0.2,collision
49,560,-6.0,11.0,0.2,collision
50,571,-6.0,11.0,0.2,collision
51,582,-6.0,11.0,0.2,collision
52,593,-6.0,11.0,0.2,collision
53,605,-1.2,12.0,0.2,collision
54,615,-5.9,10.0,0.2,collision
55,632,-6.6000000000000005,17.0,0.2,collision
56,5,640,2.513598981515818e+20,0.5389159905413786,-18.287948608398438,0.2,-0.1,-0.7999999999999999
56,648,-6.5,16.0,0.2,collision
57,661,-6.2,13.0,0.2,collision
58,671,-5.9,10.0,0.2,collision
59,685,-6.3,14.0,0.2,collision
60,697,-6.1,12.0,0.2,collision
61,709,-6.1,12.0,0.2,collision
62,719,-5.9,10.0,0.2,collision
63,734,-6.4,15.0,0.2,collision
64,747,-6.2,13.0,0.2,collision
65,758,-6.0,11.0,0.2,collision
66,6,768,7.055239270929511e+22,0.5246253522733847,-18.287948608398438,0.2,-0.1,-0.9999999999999999
66,768,-0.9999999999999999,10.0,0.2,collision
67,777,-5.8,9.0,0.2,collision
68,798,-7.0,21.0,0.2,collision
69,812,-6.3,14.0,0.2,collision
70,828,-6.5,16.0,0.2,collision
71,847,-6.800000000000001,19.0,0.2,collision
72,860,-6.2,13.0,0.2,collision
73,871,-6.0,11.0,0.2,collision
74,887,-6.5,16.0,0.2,collision
75,7,896,7.769813352979614e+20,0.68779439975818,-18.287948608398438,0.2,-0.1,-0.8999999999999999
75,899,-6.1,12.0,0.2,collision
76,910,-6.0,11.0,0.2,collision
77,919,-5.8,9.0,0.2,collision
78,931,-6.1,12.0,0.2,collision
79,944,-6.2,13.0,0.2,collision
80,955,-6.0,11.0,0.2,collision
81,966,-1.0999999999999999,11.0,0.2,collision
82,977,-6.0,11.0,0.2,collision
83,993,-6.5,16.0,0.2,collision
84,1005,-6.1,12.0,0.2,collision
85,1021,-6.5,16.0,0.2,collision
86,8,1024,7.706056476398078e+20,0.5244790607442459,-18.287948608398438,0.2,-0.1,-0.30000000000000004
86,1032,-6.0,11.0,0.2,collision
87,1042,-5.9,10.0,0.2,collision
88,1053,-6.0,11.0,0.2,collision
89,1068,-6.4,15.0,0.2,collision
90,1081,-6.2,13.0,0.2,collision
91,1092,-6.0,11.0,0.2,collision
92,1103,-6.0,11.0,0.2,collision
93,1131,-7.700000000000001,28.0,0.2,collision
94,1142,-6.0,11.0,0.2,collision
95,9,1152,5.715680561086803e+21,0.5251278653740883,-18.287948608398438,0.2,-0.1,-0.9999999999999999
95,1154,-6.1,12.0,0.2,collision
96,1165,-6.0,11.0,0.2,collision
97,1177,-6.1,12.0,0.2,collision
98,1189,-6.1,12.0,0.2,collision
99,1203,-6.3,14.0,0.2,collision
100,1214,-6.0,11.0,0.2,collision
101,1223,-5.8,9.0,0.2,collision
102,1236,-6.2,13.0,0.2,collision
103,1249,-6.2,13.0,0.2,collision
104,1260,-6.0,11.0,0.2,collision
105,1272,-6.1,12.0,0.2,collision
106,1279,-5.6,7.0,0.2,collision
107,10,1280,2.6411503881885965e+20,1.1295321234501898,-18.287948608398438,0.2,-0.1,-0.1
107,1292,-6.2,13.0,0.2,collision
108,1303,-6.0,11.0,0.2,collision
109,1318,-6.4,15.0,0.2,collision
110,1325,-5.6,7.0,0.2,collision
111,1343,-6.7,18.0,0.2,collision
112,1356,-6.2,13.0,0.2,collision
113,1367,-6.0,11.0,0.2,collision
114,1379,-6.1,12.0,0.2,collision
115,1391,-6.1,12.0,0.2,collision
116,1406,-6.4,15.0,0.2,collision
117,11,1408,2.0978466864331384e+20,0.5960944245258967,-18.287948608398438,0.2,-0.1,-0.2
117,1416,-5.9,10.0,0.2,collision
118,1431,-6.4,15.0,0.2,collision
119,1442,-6.0,11.0,0.2,collision
120,1456,-6.3,14.0,0.2,collision
121,1471,-6.4,15.0,0.2,collision
122,1482,-6.0,11.0,0.2,collision
123,1502,-2.0000000000000004,20.0,0.2,collision
124,1514,-6.1,12.0,0.2,collision
125,1532,-6.7,18.0,0.2,collision
126,12,1536,4.717165736947732e+20,0.5341359314819177,-18.287948608398438,0.2,-0.1,-0.4
126,1541,-5.8,9.0,0.2,collision
127,1555,-6.3,14.0,0.2,collision
128,1568,-6.2,13.0,0.2,collision
129,1578,-5.9,10.0,0.2,collision
130,1589,-6.0,11.0,0.2,collision
131,1607,-6.7,18.0,0.2,collision
132,1630,-7.200000000000001,23.0,0.2,collision
133,1640,-5.9,10.0,0.2,collision
134,1650,-5.9,10.0,0.2,collision
135,13,1664,8.031609934401079e+22,0.5192888031403223,-18.287948608398438,0.2,-0.1,-1.4000000000000001
135,1666,-6.5,16.0,0.2,collision
136,1675,-5.8,9.0,0.2,collision
137,1687,-6.1,12.0,0.2,collision
138,1704,-6.6000000000000005,17.0,0.2,collision
139,1715,-6.0,11.0,0.2,collision
140,1725,-5.9,10.0,0.2,collision
141,1742,-6.6000000000000005,17.0,0.2,collision
142,1752,-5.9,10.0,0.2,collision
143,1763,-6.0,11.0,0.2,collision
144,1774,-6.0,11.0,0.2,collision
145,1785,-6.0,11.0,0.2,collision
146,14,1792,5.961450154422698e+18,1.4408486081908147,-18.287948608398438,0.2,-0.1,-0.7
146,1794,-5.8,9.0,0.2,collision
147,1805,-6.0,11.0,0.2,collision
148,1821,-6.5,16.0,0.2,collision
149,1834,-6.2,13.0,0.2,collision
150,1841,-5.6,7.0,0.2,collision
151,1850,-5.8,9.0,0.2,collision
152,1859,-5.8,9.0,0.2,collision
153,1870,-6.0,11.0,0.2,collision
154,1879,-0.8999999999999999,9.0,0.2,collision
155,1888,-5.8,9.0,0.2,collision
156,1900,-6.1,12.0,0.2,collision
157,1908,-5.7,8.0,0.2,collision
158,1917,-5.8,9.0,0.2,collision
159,15,1920,2.3942350069765138e+20,0.5314328161378702,-18.287948608398438,0.2,-0.1,-0.30000000000000004
159,1925,-5.7,8.0,0.2,collision
160,1938,-6.2,13.0,0.2,collision
161,1952,-6.3,14.0,0.2,collision
162,1964,-6.1,12.0,0.2,collision
163,1974,-0.9999999999999999,10.0,0.2,collision
164,1983,-5.8,9.0,0.2,collision
165,2000,-6.6000000000000005,17.0,0.2,collision
166,2010,-5.9,10.0,0.2,collision
167,2021,-6.0,11.0,0.2,collision
168,2032,-6.0,11.0,0.2,collision
169,2043,-6.0,11.0,0.2,collision
170,16,2048,3.3613349088261717e+21,0.5018635044495264,-18.287948608398438,0.2,-0.1,-0.5
170,2054,-6.0,11.0,0.2,collision
171,2067,-6.2,13.0,0.2,collision
172,2080,-6.2,13.0,0.2,collision
173,2089,-5.8,9.0,0.2,collision
174,2106,-6.6000000000000005,17.0,0.2,collision
175,2119,-6.2,13.0,0.2,collision
176,2131,-6.1,12.0,0.2,collision
177,2142,-6.0,11.0,0.2,collision
178,2154,-6.1,12.0,0.2,collision
179,2163,-5.8,9.0,0.2,collision
180,2170,-5.6,7.0,0.2,collision
181,17,2176,1.1264716202849417e+21,0.5583801766236623,-18.287948608398438,0.2,-0.1,-0.6
181,2181,-6.0,11.0,0.2,collision
182,2191,-5.9,10.0,0.2,collision
183,2204,-6.2,13.0,0.2,collision
184,2214,-5.9,10.0,0.2,collision
185,2227,-6.2,13.0,0.2,collision
186,2235,-0.7999999999999999,8.0,0.2,collision
187,2242,-5.6,7.0,0.2,collision
188,2253,-6.0,11.0,0.2,collision
189,2269,-6.5,16.0,0.2,collision
190,2280,-6.0,11.0,0.2,collision
191,2291,-6.0,11.0,0.2,collision
192,2300,-5.8,9.0,0.2,collision
193,18,2304,9.361148889867446e+21,0.5414116382598877,-18.287948608398438,0.2,-0.1,-0.4
193,2311,-6.0,11.0,0.2,collision
194,2324,-6.2,13.0,0.2,collision
195,2333,-5.8,9.0,0.2,collision
196,2345,-6.1,12.0,0.2,collision
197,2355,-5.9,10.0,0.2,collision
198,2364,-5.8,9.0,0.2,collision
199,2375,-6.0,11.0,0.2,collision
200,2387,-6.1,12.0,0.2,collision
201,2408,-7.0,21.0,0.2,collision
202,2419,-6.0,11.0,0.2,collision
203,19,2432,1.8743907438643928e+21,0.552333782116572,-18.287948608398438,0.2,-0.1,-1.3
203,2434,-1.5000000000000002,15.0,0.2,collision
204,2440,-5.5,6.0,0.2,collision
205,2451,-6.0,11.0,0.2,collision
206,2461,-5.9,10.0,0.2,collision
207,2471,-5.9,10.0,0.2,collision
208,2480,-5.8,9.0,0.2,collision
209,2499,-6.800000000000001,19.0,0.2,collision
210,2511,-6.1,12.0,0.2,collision
211,2522,-6.0,11.0,0.2,collision
212,2532,-5.9,10.0,0.2,collision
213,2543,-6.0,11.0,0.2,collision
214,2553,-5.9,10.0,0.2,collision
215,20,2560,6.061906971107771e+20,0.5251308791339397,-18.287948608398438,0.2,-0.1,-0.7
215,2562,-5.8,9.0,0.2,collision
216,2576,-6.3,14.0,0.2,collision
217,2587,-6.0,11.0,0.2,collision
218,2597,-5.9,10.0,0.2,collision
219,2607,-5.9,10.0,0.2,collision
220,2619,-6.1,12.0,0.2,collision
221,2631,-6.1,12.0,0.2,collision
222,2640,-5.8,9.0,0.2,collision
223,2651,-6.0,11.0,0.2,collision
224,2672,-7.0,21.0,0.2,collision
225,2687,-6.4,15.0,0.2,collision
226,21,2688,9.159576371608288e+20,0.5266960027317206,-18.287948608398438,0.2,-0.1,-0.1
226,2700,-6.2,13.0,0.2,collision
227,2713,-6.2,13.0,0.2,collision
228,2722,-5.8,9.0,0.2,collision
229,2734,-6.1,12.0,0.2,collision
230,2745,-6.0,11.0,0.2,collision
231,2756,-6.0,11.0,0.2,collision
232,2767,-6.0,11.0,0.2,collision
233,2786,-6.800000000000001,19.0,0.2,collision
234,2800,-6.3,14.0,0.2,collision
235,2810,-5.9,10.0,0.2,collision
236,22,2816,5.7678297267560356e+20,0.4798880269130071,-18.287948608398438,0.2,-0.1,-0.6
236,2819,-5.8,9.0,0.2,collision
237,2831,-1.2,12.0,0.2,collision
238,2840,-5.8,9.0,0.2,collision
239,2851,-6.0,11.0,0.2,collision
240,2865,-6.3,14.0,0.2,collision
241,2881,-1.6000000000000003,16.0,0.2,collision
242,2891,-0.9999999999999999,10.0,0.2,collision
243,2899,-5.7,8.0,0.2,collision
244,2911,-1.2,12.0,0.2,collision
245,2919,-5.7,8.0,0.2,collision
246,2930,-6.0,11.0,0.2,collision
247,23,2944,1.94206271991119e+20,0.4958550917605559,-18.287948608398438,0.2,-0.1,-1.4000000000000001
247,2949,-6.800000000000001,19.0,0.2,collision
248,2960,-6.0,11.0,0.2,collision
249,2972,-6.1,12.0,0.2,collision
250,2982,-5.9,10.0,0.2,collision
251,2999,-6.6000000000000005,17.0,0.2,collision
252,3024,-7.4,25.0,0.2,collision
253,3044,-6.9,20.0,0.2,collision
254,3055,-6.0,11.0,0.2,collision
255,3066,-6.0,11.0,0.2,collision
256,24,3072,8.951488769761057e+19,0.5474303041895231,-18.287948608398438,0.2,-0.1,-0.6
256,3078,-6.1,12.0,0.2,collision
257,3089,-6.0,11.0,0.2,collision
258,3098,-5.8,9.0,0.2,collision
259,3109,-6.0,11.0,0.2,collision
260,3122,-6.2,13.0,0.2,collision
261,3143,-7.0,21.0,0.2,collision
262,3158,-6.4,15.0,0.2,collision
263,3182,-7.300000000000001,24.0,0.2,collision
264,3195,-6.2,13.0,0.2,collision
265,25,3200,7.32752377847408e+17,0.575514666736126,-18.287948608398438,0.2,-0.1,-0.5
265,3207,-1.2,12.0,0.2,collision
266,3224,-1.7000000000000004,17.0,0.2,collision
267,3233,-5.8,9.0,0.2,collision
268,3246,-1.3,13.0,0.2,collision
269,3253,-5.6,7.0,0.2,collision
270,3269,-6.5,16.0,0.2,collision
271,3279,-5.9,10.0,0.2,collision
272,3292,-6.2,13.0,0.2,collision
273,3301,-5.8,9.0,0.2,collision
274,3314,-6.2,13.0,0.2,collision
275,3326,-6.1,12.0,0.2,collision
276,26,3328,1.1008772376581846e+20,0.48938075204690296,-18.287948608398438,0.2,-0.1,-0.2
276,3336,-5.9,10.0,0.2,collision
277,3361,-7.4,25.0,0.2,collision
278,3375,-6.3,14.0,0.2,collision
279,3386,-1.0999999999999999,11.0,0.2,collision
280,3397,-6.0,11.0,0.2,collision
281,3413,-6.5,16.0,0.2,collision
282,3424,-6.0,11.0,0.2,collision
283,3437,-6.2,13.0,0.2,collision
284,3447,-5.9,10.0,0.2,collision
285,27,3456,1.1483698186632483e+21,0.5585992981990179,-18.287948608398438,0.2,-0.1,-0.8999999999999999
285,3458,-6.0,11.0,0.2,collision
286,3473,-6.4,15.0,0.2,collision
287,3483,-5.9,10.0,0.2,collision
288,3495,-6.1,12.0,0.2,collision
289,3504,-5.8,9.0,0.2,collision
290,3522,-6.7,18.0,0.2,collision
291,3534,-6.1,12.0,0.2,collision
292,3544,-5.9,10.0,0.2,collision
293,3555,-6.0,11.0,0.2,collision
294,3569,-6.3,14.0,0.2,collision
295,3581,-6.1,12.0,0.2,collision
296,28,3584,3.2192619020949565e+19,0.6032440662384033,-18.287948608398438,0.2,-0.1,-0.30000000000000004
296,3591,-0.9999999999999999,10.0,0.2,collision
297,3601,-5.9,10.0,0.2,collision
298,3614,-6.2,13.0,0.2,collision
299,3626,-6.1,12.0,0.2,collision
300,3637,-6.0,11.0,0.2,collision
301,3650,-6.2,13.0,0.2,collision
302,3665,-6.4,15.0,0.2,collision
303,3677,-6.1,12.0,0.2,collision
304,3699,-7.1000000000000005,22.0,0.2,collision
305,29,3712,1.4601541563469359e+20,0.6783434922496477,-18.287948608398438,0.2,-0.1,-1.3
305,3715,-6.5,16.0,0.2,collision
306,3724,-5.8,9.0,0.2,collision
307,3734,-5.9,10.0,0.2,collision
308,3747,-6.2,13.0,0.2,collision
309,3763,-1.6000000000000003,16.0,0.2,collision
310,3772,-5.8,9.0,0.2,collision
311,3783,-6.0,11.0,0.2,collision
312,3799,-6.5,16.0,0.2,collision
313,3814,-6.4,15.0,0.2,collision
314,3829,-6.4,15.0,0.2,collision
315,3839,-5.9,10.0,0.2,collision
316,30,3840,4.020173808034627e+19,0.7527144861718019,-18.287948608398438,0.2,-0.1,-0.1
316,3854,-6.4,15.0,0.2,collision
317,3870,-6.5,16.0,0.2,collision
318,3881,-6.0,11.0,0.2,collision
319,3890,-5.8,9.0,0.2,collision
320,3901,-6.0,11.0,0.2,collision
321,3913,-6.1,12.0,0.2,collision
322,3936,-7.200000000000001,23.0,0.2,collision
323,3950,-6.3,14.0,0.2,collision
324,3960,-5.9,10.0,0.2,collision
325,31,3968,1.353191006439151e+19,0.5874615162611008,-18.287948608398438,0.2,-0.1,-0.7999999999999999
325,3973,-6.2,13.0,0.2,collision
326,3984,-6.0,11.0,0.2,collision
327,3994,-5.9,10.0,0.2,collision
328,4006,-6.1,12.0,0.2,collision
329,4015,-5.8,9.0,0.2,collision
330,4026,-6.0,11.0,0.2,collision
331,4040,-6.3,14.0,0.2,collision
332,4052,-6.1,12.0,0.2,collision
333,4067,-6.4,15.0,0.2,collision
334,4080,-6.2,13.0,0.2,collision
335,4092,-6.1,12.0,0.2,collision
336,32,4096,1.1286938652133946e+22,0.520099633683761,-18.287948608398438,0.2,-0.1,-0.4
336,4106,-6.3,14.0,0.2,collision
337,4121,-6.4,15.0,0.2,collision
338,4133,-1.2,12.0,0.2,collision
339,4146,-6.2,13.0,0.2,collision
340,4159,-6.2,13.0,0.2,collision
341,4170,-6.0,11.0,0.2,collision
342,4184,-6.3,14.0,0.2,collision
343,4197,-6.2,13.0,0.2,collision
344,4208,-6.0,11.0,0.2,collision
345,4218,-5.9,10.0,0.2,collision
346,33,4224,1.8393177875709612e+22,0.532633151859045,-18.287948608398438,0.2,-0.1,-0.6
346,4238,-6.9,20.0,0.2,collision
347,4250,-6.1,12.0,0.2,collision
348,4261,-6.0,11.0,0.2,collision
349,4271,-5.9,10.0,0.2,collision
350,4289,-6.7,18.0,0.2,collision
351,4301,-6.1,12.0,0.2,collision
352,4314,-6.2,13.0,0.2,collision
353,4326,-6.1,12.0,0.2,collision
354,4346,-6.9,20.0,0.2,collision
355,34,4352,4.759629302962882e+21,0.6059075432519118,-18.287948608398438,0.2,-0.1,-0.6
355,4356,-5.9,10.0,0.2,collision
356,4366,-5.9,10.0,0.2,collision
357,4377,-6.0,11.0,0.2,collision
358,4389,-6.1,12.0,0.2,collision
359,4400,-6.0,11.0,0.2,collision
360,4412,-6.1,12.0,0.2,collision
361,4427,-6.4,15.0,0.2,collision
362,4437,-5.9,10.0,0.2,collision
363,4448,-1.0999999999999999,11.0,0.2,collision
364,4456,-5.7,8.0,0.2,collision
365,4466,-5.9,10.0,0.2,collision
366,35,4480,2.7730481537736856e+19,1.4497584315637748,-18.287948608398438,0.2,-0.1,-1.4000000000000001
366,4482,-6.5,16.0,0.2,collision
367,4493,-6.0,11.0,0.2,collision
368,4504,-6.0,11.0,0.2,collision
369,4516,-6.1,12.0,0.2,collision
370,4527,-6.0,11.0,0.2,collision
371,4539,-6.1,12.0,0.2,collision
372,4561,-7.1000000000000005,22.0,0.2,collision
373,4571,-5.9,10.0,0.2,collision
374,4582,-6.0,11.0,0.2,collision
375,4600,-6.7,18.0,0.2,collision
376,36,4608,1.607425737826966e+21,0.5566865454117457,-18.287948608398438,0.2,-0.1,-0.7999999999999999
376,4620,-6.9,20.0,0.2,collision
377,4631,-6.0,11.0,0.2,collision
378,4641,-5.9,10.0,0.2,collision
0,12,-6.1,13.0,0.2,collision
1,24,-6.1,12.0,0.2,collision
2,35,-6.0,11.0,0.2,collision
3,45,-5.9,10.0,0.2,collision
4,54,-5.8,9.0,0.2,collision
5,66,-6.1,12.0,0.2,collision
6,78,-6.1,12.0,0.2,collision
7,89,-6.0,11.0,0.2,collision
8,100,-6.0,11.0,0.2,collision
9,122,-7.1000000000000005,22.0,0.2,collision
10,1,128,1.0488026927998467e+21,0.5177215586105982,-18.287948608398438,0.2,-0.1,-0.6
10,130,-5.7,8.0,0.2,collision
11,145,-6.4,15.0,0.2,collision
12,158,-6.2,13.0,0.2,collision
13,178,-6.9,20.0,0.2,collision
14,191,-1.3,13.0,0.2,collision
15,204,-6.2,13.0,0.2,collision
16,218,-6.3,14.0,0.2,collision
17,231,-6.2,13.0,0.2,collision
18,242,-6.0,11.0,0.2,collision
19,254,-6.1,12.0,0.2,collision
20,2,256,7.355619511048165e+19,0.5315981383124987,-18.287948608398438,0.2,-0.1,-0.2
20,265,-6.0,11.0,0.2,collision
21,277,-6.1,12.0,0.2,collision
22,290,-6.2,13.0,0.2,collision
23,310,-6.9,20.0,0.2,collision
24,320,-5.9,10.0,0.2,collision
25,332,-6.1,12.0,0.2,collision
26,346,-6.3,14.0,0.2,collision
27,358,-1.2,12.0,0.2,collision
28,367,-5.8,9.0,0.2,collision
29,377,-5.9,10.0,0.2,collision
30,3,384,1.5003550217069385e+21,0.5389722970624765,-18.287948608398438,0.2,-0.1,-0.7
30,387,-5.9,10.0,0.2,collision
31,396,-5.8,9.0,0.2,collision
32,409,-6.2,13.0,0.2,collision
33,419,-5.9,10.0,0.2,collision
34,433,-6.3,14.0,0.2,collision
35,444,-6.0,11.0,0.2,collision
36,455,-6.0,11.0,0.2,collision
37,468,-6.2,13.0,0.2,collision
38,478,-5.9,10.0,0.2,collision
39,488,-5.9,10.0,0.2,collision
40,498,-5.9,10.0,0.2,collision
41,510,-6.1,12.0,0.2,collision
42,4,512,3.0253789667763945e+19,0.5462271347641945,-18.287948608398438,0.2,-0.1,-0.2
42,519,-5.8,9.0,0.2,collision
0,15,-6.4,17.0,0.2,collision
1,26,-6.0,11.0,0.2,collision
2,41,-1.5000000000000002,15.0,0.2,collision
3,51,-0.9999999999999999,10.0,0.2,collision
4,58,-5.6,7.0,0.2,collision
5,78,-6.9,20.0,0.2,collision
6,89,-1.0999999999999999,11.0,0.2,collision
7,99,-5.9,10.0,0.2,collision
8,121,-7.1000000000000005,22.0,0.2,collision
9,1,128,1.58396790336034e+21,0.5564602563778559,-18.287948608398438,0.2,-0.1,-0.7
9,130,-5.8,9.0,0.2,collision
10,142,-6.1,12.0,0.2,collision
11,150,-5.7,8.0,0.2,collision
12,173,-7.200000000000001,23.0,0.2,collision
13,186,-6.2,13.0,0.2,collision
14,195,-5.8,9.0,0.2,collision
15,205,-5.9,10.0,0.2,collision
16,216,-6.0,11.0,0.2,collision
17,226,-5.9,10.0,0.2,collision
18,242,-6.5,16.0,0.2,collision
19,252,-0.9999999999999999,10.0,0.2,collision
20,2,256,1.2537516370101273e+19,0.524244607736667,-18.287948608398438,0.2,-0.1,-0.4
20,261,-5.8,9.0,0.2,collision
21,273,-6.1,12.0,0.2,collision
22,283,-5.9,10.0,0.2,collision
23,294,-6.0,11.0,0.2,collision
24,310,-6.5,16.0,0.2,collision
25,329,-6.800000000000001,19.0,0.2,collision
26,342,-6.2,13.0,0.2,collision
27,353,-6.0,11.0,0.2,collision
28,369,-6.5,16.0,0.2,collision
29,381,-6.1,12.0,0.2,collision
30,3,384,2.822344036804434e+21,0.5869818019370238,-18.287948608398438,0.2,-0.1,-0.30000000000000004
30,391,-5.9,10.0,0.2,collision
31,400,-5.8,9.0,0.2,collision
32,412,-1.2,12.0,0.2,collision
33,421,-0.8999999999999999,9.0,0.2,collision
34,431,-5.9,10.0,0.2,collision
35,447,-6.5,16.0,0.2,collision
36,459,-6.1,12.0,0.2,collision
37,478,-1.9000000000000006,19.0,0.2,collision
38,491,-6.2,13.0,0.2,collision
39,501,-0.9999999999999999,10.0,0.2,collision
40,511,-5.9,10.0,0.2,collision
41,4,512,1.561977689381195e+19,0.6430325309435526,-18.287948608398438,0.2,-0.1,-0.1
41,520,-5.8,9.0,0.2,collision
42,529,-5.8,9.0,0.2,collision
43,543,-6.3,14.0,0.2,collision
44,561,-1.8000000000000005,18.0,0.2,collision
45,568,-5.6,7.0,0.2,collision
46,582,-1.4000000000000001,14.0,0.2,collision
47,594,-6.1,12.0,0.2,collision
48,609,-6.4,15.0,0.2,collision
49,621,-6.1,12.0,0.2,collision
50,638,-6.6000000000000005,17.0,0.2,collision
51,5,640,1.2320001642819268e+20,0.5572587127486864,-18.287948608398438,0.2,-0.1,-0.2
51,649,-6.0,11.0,0.2,collision
52,666,-6.6000000000000005,17.0,0.2,collision
0,9,-0.8999999999999999,11.0,0.2,collision
1,18,-0.8999999999999999,9.0,0.2,collision
2,27,-5.8,9.0,0.2,collision
3,36,-5.8,9.0,0.2,collision
4,46,-5.9,10.0,0.2,collision
5,55,-5.8,9.0,0.2,collision
6,68,-6.2,13.0,0.2,collision
7,78,-5.9,10.0,0.2,collision
8,90,-1.2,12.0,0.2,collision
9,99,-0.8999999999999999,9.0,0.2,collision
10,118,-6.800000000000001,19.0,0.2,collision
11,1,128,8.210728330894231e+20,0.4927854612469673,-18.287948608398438,0.2,-0.1,-0.9999999999999999
11,130,-6.1,12.0,0.2,collision
12,141,-1.0999999999999999,11.0,0.2,collision
13,156,-6.4,15.0,0.2,collision
14,176,-6.9,20.0,0.2,collision
15,184,-5.7,8.0,0.2,collision
16,196,-1.2,12.0,0.2,collision
17,205,-0.8999999999999999,9.0,0.2,collision
18,215,-5.9,10.0,0.2,collision
19,229,-6.3,14.0,0.2,collision
20,245,-6.5,16.0,0.2,collision
21,255,-5.9,10.0,0.2,collision
22,2,256,9.804967745795654e+18,0.5442957120637099,-18.287948608398438,0.2,-0.1,-0.1
22,269,-6.3,14.0,0.2,collision
23,280,-6.0,11.0,0.2,collision
24,289,-5.8,9.0,0.2,collision
25,300,-1.0999999999999999,11.0,0.2,collision
26,309,-0.8999999999999999,9.0,0.2,collision
27,317,-0.7999999999999999,8.0,0.2,collision
28,326,-5.8,9.0,0.2,collision
29,336,-5.9,10.0,0.2,collision
30,345,-5.8,9.0,0.2,collision
31,358,-6.2,13.0,0.2,collision
32,373,-6.4,15.0,0.2,collision
33,383,-5.9,10.0,0.2,collision
34,3,384,2.5403391784199646e+21,0.47314466908574104,-18.287948608398438,0.2,-0.1,-0.1
34,394,-6.0,11.0,0.2,collision
35,409,-6.4,15.0,0.2,collision
36,420,-6.0,11.0,0.2,collision
37,434,-6.3,14.0,0.2,collision
38,442,-5.7,8.0,0.2,collision
39,454,-6.1,12.0,0.2,collision
40,465,-6.0,11.0,0.2,collision
