episode,timestep,episode_reward,episode_length,termination_reason
141,29,4480,-0.45148544510205585,0.48226112127304077,62.937865257263184,0.2,-5.0,9.206344734101139
141,4480,9.206344734101139,21.0,collision
142,4505,56.379565704543,25.0,collision
143,4541,25.46713179230386,36.0,collision
144,4557,4.8341849956088385,16.0,collision
145,4576,10.31969546583371,19.0,collision
146,30,4608,-0.38047917063037556,0.4721595278630654,63.05335839589437,0.2,-0.05600000000000001,-0.05921620029111718
146,4651,2.2885845755759133,75.0,collision
147,4673,34.96246369196955,22.0,collision
148,4702,10.027396382129039,29.0,collision
149,31,4736,-0.34294304996728897,0.4860535276432832,63.168853759765625,0.2,-0.08400000000000002,-2.2950000000000004
149,4772,-0.8995465223041377,70.0,collision
150,4806,37.5735122666078,34.0,collision
151,4837,3.4956817151919264,31.0,collision
152,4857,8.378653499272636,20.0,collision
153,32,4864,-0.33680518219868344,0.48903900012373924,63.28434658050537,0.2,0.15607284448876863,-1.1089271555112312
153,4887,27.469121992933445,30.0,collision
154,4923,15.896401554003248,36.0,collision
155,4965,10.223824819978356,42.0,collision
156,4988,18.491937974379926,23.0,collision
157,33,4992,-0.3025657807787259,0.4858747397859891,63.39983876546224,0.2,-0.054000000000000006,-0.21000000000000002
157,5053,17.666627984520012,65.0,collision
158,5067,1.2568609768968413,14.0,collision
159,5082,0.9678115862593035,15.0,collision
160,34,5120,-0.29971060529351234,0.4896346628665924,63.51533285776774,0.2,-5.0,27.398603328848203
160,5120,27.398603328848203,38.0,collision
161,5150,84.69981744749634,30.0,collision
162,5170,6.036737329036756,20.0,collision
163,5190,8.320689946395966,20.0,collision
164,5209,42.719687112765214,19.0,collision
165,35,5248,-0.39877063408493996,0.48308143950998783,63.6307757695516,0.2,2.649075944112707,5.988061657785122
165,5250,3.6371376018978285,41.0,collision
166,5265,36.155010977397986,15.0,collision
167,5290,17.054609492246474,25.0,collision
168,5326,20.2654382849596,36.0,collision
169,5358,7.4115717432444015,32.0,collision
170,5373,5.946902030546026,15.0,collision
171,36,5376,-0.3568938784301281,0.48432095783452195,63.74613348642985,0.2,-0.052000000000000005,32.98523529411765
171,5428,51.711283646213026,55.0,collision
172,5454,76.63770157233463,26.0,collision
173,5472,6.762920661512933,18.0,collision
